condition,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,specificity_mean,specificity_std,fpr_mean,fpr_std,fnr_mean,fnr_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std
Top-10,RFF-SVM,0.9934567631899117,0.0010289505185501282,0.9940806914920148,0.0016613239795757369,0.99515005491536,0.00032784373049378463,0.994614502081283,0.0008427178897178785,0.9908403339424039,0.0025851741740807867,0.009159666057596121,0.002585174174080785,0.004849945084639929,0.0003278437304937798,0.9990709381206164,0.00014311929964498743,0.9992083769510351,0.00023371164467009376,0.9862822587023514,0.0021607110566980933
Top-10,Random Forest,0.999671017005187,7.000549353552269e-05,0.9998296572180913,5.056550387903438e-05,0.999628415883298,8.805362021751165e-05,0.9997290249587012,5.7669563442636765e-05,0.9997368429995174,7.812359229801928e-05,0.0002631570004826826,7.81235922980129e-05,0.0003715841167019771,8.80536202174654e-05,0.9999947634390101,4.259030151118632e-06,0.9999961589935348,3.0495514160353263e-06,0.9993104711336844,0.00014670509244130164
Top-10,XGBoost,0.9997039153516047,6.141821359104005e-05,0.9999361107643772,2.1208450303193582e-05,0.9995761619578909,9.010326215555096e-05,0.9997561025815269,5.060262791254491e-05,0.9999013160577499,3.27586180100513e-05,9.868394225006795e-05,3.2758618010036166e-05,0.00042383804210910733,9.010326215552701e-05,0.9999988023415426,1.0209513704339575e-06,0.999999112795656,7.114177163278686e-07,0.9993795272842962,0.00012867057863761143
Top-10 without Seq/Offset,RFF-SVM,0.7178031732582227,0.016169713719049295,0.8177672250947999,0.059595204458867186,0.7005752196989469,0.09271546539763183,0.7481870388390267,0.03961811578848358,0.7444237486111339,0.10494727959235721,0.25557625138886614,0.10494727959235714,0.29942478030105313,0.09271546539763181,0.840695425000105,0.001068032818571925,0.8760391390635534,0.007023280189986538,0.4423421416535863,0.023603919692583783
Top-10 without Seq/Offset,Random Forest,0.7144416367060238,0.008695073126321014,0.9866866478422576,0.028334694391536325,0.5380534001217089,0.032377614463145105,0.6953664979611933,0.018391302680860512,0.9869916285827667,0.027925819971346563,0.013008371417233308,0.02792581997134659,0.4619465998782911,0.0323776144631451,0.8690254173622272,0.0011219416876429751,0.8997779896574949,0.004293364058868835,0.5457275745844433,0.006288384995280035
Top-10 without Seq/Offset,XGBoost,0.7146037781859602,0.008769957202311053,0.9873433082356102,0.028125452082134874,0.5379411509472248,0.0323102449908346,0.6954439528655774,0.018425796775007764,0.9875777512855978,0.027634911071620062,0.012422248714402336,0.02763491107162007,0.46205884905277517,0.032310244990834534,0.8730258207575066,0.0013931047639519215,0.9012952162902419,0.004465560574422441,0.546330509273722,0.006064154964924381
